REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.042552303041288
"REGION1","SEBFHPFH1",2024,0
"REGION1","SEBM00X00",2019,3.16711878291062
"REGION1","SEBM00X00",2020,179.42070198479
"REGION1","SEBM00X00",2021,208.917668871229
"REGION1","SEBM00X00",2022,324.122534536097
"REGION1","SEBM00X00",2023,347.614888951871
"REGION1","SEBM00X00",2024,410.588255697406
"REGION1","SEBM00X00",2025,444.750366832228
"REGION1","SEBM00X00",2026,439.003948304722
"REGION1","SEBM00X00",2027,439.003948304722
"REGION1","SEBM00X00",2028,438.636613699039
"REGION1","SEBM00X00",2029,439.003948304722
"REGION1","SEBM00X00",2030,115.628933084926
"REGION1","SEBM00X00",2031,112.609045546484
"REGION1","SEBM00X00",2032,122.237620590979
"REGION1","SEBM00X00",2033,138.618689751519
"REGION1","SEBM00X00",2034,159.985567949225
"REGION1","SEBM00X00",2035,330.796326568156
"REGION1","SEBM00X00",2036,330.796326568156
"REGION1","SEBM00X00",2037,330.796326568156
"REGION1","SEBM00X00",2038,330.796326568156
"REGION1","SEBM00X00",2039,330.796326568156
"REGION1","SEBM00X00",2040,422.639531445732
"REGION1","SEBM00X00",2041,710.033584649229
"REGION1","SEBM00X00",2042,705.135789906789
"REGION1","SEBM00X00",2043,740.36612700298
"REGION1","SEBM00X00",2044,740.36612700298
"REGION1","SEBM00X00",2045,777.728091278248
"REGION1","SEBM00X00",2046,777.728091278248
"REGION1","SEBM00X00",2047,777.728091278247
"REGION1","SEBM00X00",2048,777.728091278248
"REGION1","SEBM00X00",2049,777.728091278248
"REGION1","SEBM00X00",2050,777.728091278248
"REGION1","SEBM00X00",2051,777.728091278248
"REGION1","SEBM00X00",2052,777.728091278248
"REGION1","SEBM00X00",2053,777.728091278246
"REGION1","SEBM00X00",2054,777.728091278248
"REGION1","SEBM00X00",2055,777.728091278248
"REGION1","SEBM00X00",2056,777.728091278248
"REGION1","SEBM00X00",2057,777.728091278248
"REGION1","SEBM00X00",2058,777.72809127825
"REGION1","SEBM00X00",2059,777.728091278248
"REGION1","SEBM00X00",2060,703.353135237403
"REGION1","SEBMCCPH1",2019,0.000257147537233637
"REGION1","SEBMCCPH1",2020,0.00821265575307849
"REGION1","SEBMCCPH1",2021,0.00821265575307849
"REGION1","SEBMCCPH1",2022,0.00821265575307849
"REGION1","SEBMCCPH1",2023,0.00821265575307849
"REGION1","SEBMCCPH1",2024,0.00821265575307849
"REGION1","SEBMCCPH1",2025,0.00821265575307849
"REGION1","SEBMCCPH1",2060,0.0312350348160351
"REGION1","SEBMCHPH3",2025,0
"REGION1","SEBMCHPH3",2026,0
"REGION1","SEBMCHPH3",2027,0
"REGION1","SEBMCHPH3",2029,0
"REGION1","SEBMCHPH3",2030,0
"REGION1","SEBMSTPH3",2019,0
"REGION1","SEBMSTPH3",2020,0
"REGION1","SEBMSTPH3",2021,0
"REGION1","SEBMSTPH3",2022,0
"REGION1","SEBMSTPH3",2023,0
"REGION1","SEBMSTPH3",2024,0
"REGION1","SEBMSTPH3",2025,0
"REGION1","SEBMSTPH3",2026,0
"REGION1","SEBMSTPH3",2027,0
"REGION1","SEBMSTPH3",2028,0
"REGION1","SEBMSTPH3",2029,0
"REGION1","SEBMSTPH3",2030,0
"REGION1","SEBMSTPH3",2031,0
"REGION1","SEBMSTPH3",2032,0
"REGION1","SEBMSTPH3",2033,0
"REGION1","SEBMSTPH3",2034,0
"REGION1","SEBMSTPH3",2035,0
"REGION1","SEBMSTPH3",2036,0
"REGION1","SEBMSTPH3",2037,0
"REGION1","SEBMSTPH3",2038,0
"REGION1","SEBMSTPH3",2039,0
"REGION1","SEBMSTPH3",2040,0
"REGION1","SEBMSTPH3",2041,0
"REGION1","SEBMSTPH3",2042,0
"REGION1","SEBMSTPH3",2043,0
"REGION1","SEBMSTPH3",2044,0
"REGION1","SEBMSTPH3",2045,0
"REGION1","SEBMSTPH3",2046,0
"REGION1","SEBMSTPH3",2047,0
"REGION1","SEBMSTPH3",2048,0
"REGION1","SEBMSTPH3",2049,0
"REGION1","SEBMSTPH3",2050,0
"REGION1","SEBMSTPH3",2051,0
"REGION1","SEBMSTPH3",2052,0
"REGION1","SEBMSTPH3",2053,0
"REGION1","SEBMSTPH3",2054,0
"REGION1","SEBMSTPH3",2055,0
"REGION1","SEBMSTPH3",2056,0
"REGION1","SEBMSTPH3",2057,0
"REGION1","SEBMSTPH3",2058,0
"REGION1","SEBMSTPH3",2059,0
"REGION1","SEBMSTPH3",2060,0
"REGION1","SECO00I00",2015,19.685908075428
"REGION1","SECO00I00",2016,22.900466481196
"REGION1","SECO00I00",2017,26.273093668464
"REGION1","SECO00I00",2018,29.803630701504
"REGION1","SECO00I00",2019,33.492332711272
"REGION1","SECO00I00",2020,37.33904710944
"REGION1","SECO00I00",2021,38.292767943768
"REGION1","SECO00I00",2022,39.246365335068
"REGION1","SECO00I00",2023,40.2000861693959
"REGION1","SECO00I00",2024,41.153807003724
"REGION1","SECO00I00",2025,12.510418337424
"REGION1","SECO00I00",2026,15.568715371152
