REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.0160105686048
"REGION1","SEBM00X00",2019,62.0767813940184
"REGION1","SEBM00X00",2020,161.690907535314
"REGION1","SEBM00X00",2021,176.013799062926
"REGION1","SEBM00X00",2022,265.392460689927
"REGION1","SEBM00X00",2023,267.644364704297
"REGION1","SEBM00X00",2024,265.434139266934
"REGION1","SEBM00X00",2025,258.974066875531
"REGION1","SEBM00X00",2026,268.416739261514
"REGION1","SEBM00X00",2027,248.044115462919
"REGION1","SEBM00X00",2028,244.292565736752
"REGION1","SEBM00X00",2029,257.763268951099
"REGION1","SEBM00X00",2030,65.7828729802927
"REGION1","SEBM00X00",2031,67.261823521628
"REGION1","SEBM00X00",2032,69.1510577033535
"REGION1","SEBM00X00",2033,75.7206313271902
"REGION1","SEBM00X00",2034,88.7297946929175
"REGION1","SEBM00X00",2035,194.081140565149
"REGION1","SEBM00X00",2036,194.08114056515
"REGION1","SEBM00X00",2037,194.08114056515
"REGION1","SEBM00X00",2038,193.55815942539
"REGION1","SEBM00X00",2039,193.55815942539
"REGION1","SEBM00X00",2040,250.027899494103
"REGION1","SEBM00X00",2041,426.82304705686
"REGION1","SEBM00X00",2042,423.294237608645
"REGION1","SEBM00X00",2043,452.522967669607
"REGION1","SEBM00X00",2044,445.020063416208
"REGION1","SEBM00X00",2045,475.18764488517
"REGION1","SEBM00X00",2046,475.373411520776
"REGION1","SEBM00X00",2047,475.452399339114
"REGION1","SEBM00X00",2048,475.452399339114
"REGION1","SEBM00X00",2049,474.722701772009
"REGION1","SEBM00X00",2050,475.452399339114
"REGION1","SEBM00X00",2051,475.452399339114
"REGION1","SEBM00X00",2052,475.452399339114
"REGION1","SEBM00X00",2053,470.59476220384
"REGION1","SEBM00X00",2054,470.126591535441
"REGION1","SEBM00X00",2055,475.452399339114
"REGION1","SEBM00X00",2056,475.452399339114
"REGION1","SEBM00X00",2057,469.115414670638
"REGION1","SEBM00X00",2058,471.531544370666
"REGION1","SEBM00X00",2059,467.844898857763
"REGION1","SEBM00X00",2060,425.679257048233
"REGION1","SEBMCCPH1",2060,0.169169923881986
"REGION1","SEBMSTPH3",2030,0.628709823158644
"REGION1","SEBMSTPH3",2032,0.0655824264542972
"REGION1","SEBMSTPH3",2033,0.111575208013574
"REGION1","SEBMSTPH3",2034,0.145534693501729
"REGION1","SEBMSTPH3",2035,1.16343113731385
"REGION1","SEBMSTPH3",2040,0.625565070779003
"REGION1","SEBMSTPH3",2041,1.9575066165576
"REGION1","SEBMSTPH3",2043,0.239961882302824
"REGION1","SEBMSTPH3",2045,0.254480882471983
"REGION1","SECO00I00",2015,8.47465515745201
"REGION1","SECO00I00",2016,9.26563300383426
