REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBM00X00","SEBM",2020,5.34539834201702
"REGION1","S01B1","SEBM00X00","SEBM",2021,5.68589829802573
"REGION1","S01B1","SEBM00X00","SEBM",2022,11.6336377498194
"REGION1","S01B1","SEBM00X00","SEBM",2023,11.7323513134317
"REGION1","S01B1","SEBM00X00","SEBM",2024,11.6354647552496
"REGION1","S01B1","SEBM00X00","SEBM",2025,11.352283605929
"REGION1","S01B1","SEBM00X00","SEBM",2026,11.766208815572
"REGION1","S01B1","SEBM00X00","SEBM",2027,10.8731626277863
"REGION1","S01B1","SEBM00X00","SEBM",2028,10.70871119461
"REGION1","S01B1","SEBM00X00","SEBM",2029,11.2992075524328
"REGION1","S01B1","SEBM00X00","SEBM",2030,2.86461927429367
"REGION1","S01B1","SEBM00X00","SEBM",2031,2.94846239116468
"REGION1","S01B1","SEBM00X00","SEBM",2032,2.19516669868393
"REGION1","S01B1","SEBM00X00","SEBM",2033,3.31925930660618
"REGION1","S01B1","SEBM00X00","SEBM",2034,3.88952378824085
"REGION1","S01B1","SEBM00X00","SEBM",2035,8.50766324535767
"REGION1","S01B1","SEBM00X00","SEBM",2036,7.37878621401314
"REGION1","S01B1","SEBM00X00","SEBM",2037,8.50766324535768
"REGION1","S01B1","SEBM00X00","SEBM",2038,7.24455844607541
"REGION1","S01B1","SEBM00X00","SEBM",2039,8.48473805330761
"REGION1","S01B1","SEBM00X00","SEBM",2040,10.9601229910637
"REGION1","S01B1","SEBM00X00","SEBM",2041,18.7100443615657
"REGION1","S01B1","SEBM00X00","SEBM",2042,18.5553568821175
"REGION1","S01B1","SEBM00X00","SEBM",2043,19.8366158015778
"REGION1","S01B1","SEBM00X00","SEBM",2044,19.5077214918875
"REGION1","S01B1","SEBM00X00","SEBM",2045,20.8301355261284
"REGION1","S01B1","SEBM00X00","SEBM",2046,20.8382787180601
"REGION1","S01B1","SEBM00X00","SEBM",2047,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2048,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2049,20.8097544657971
"REGION1","S01B1","SEBM00X00","SEBM",2050,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2051,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2052,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2053,18.5603765890383
"REGION1","S01B1","SEBM00X00","SEBM",2054,20.608281215911
"REGION1","S01B1","SEBM00X00","SEBM",2055,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2056,20.8417411964697
"REGION1","S01B1","SEBM00X00","SEBM",2057,20.5639556713362
"REGION1","S01B1","SEBM00X00","SEBM",2058,20.6698681664148
"REGION1","S01B1","SEBM00X00","SEBM",2059,20.5082618483694
"REGION1","S01B1","SEBM00X00","SEBM",2060,18.6599056402635
"REGION1","S01B1","SEBMCCPH1","SEE1",2020,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2021,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2022,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2023,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2024,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2025,0.061489128941568
"REGION1","S01B1","SEBMCCPH1","SEE1",2060,0.233860415076769
"REGION1","S01B1","SEBMCHPH3","SEE1",2025,0.0030744564470784
"REGION1","S01B1","SEBMCHPH3","SEE1",2026,0.0030744564470784
"REGION1","S01B1","SEBMCHPH3","SEE1",2027,0.0030744564470784
"REGION1","S01B1","SEBMCHPH3","SEE1",2029,0.0030744564470784
"REGION1","S01B1","SEBMSTPH3","SEE1",2020,1.81272589835522
"REGION1","S01B1","SEBMSTPH3","SEE1",2021,1.93271256721328
"REGION1","S01B1","SEBMSTPH3","SEE1",2022,4.01523502213185
"REGION1","S01B1","SEBMSTPH3","SEE1",2023,4.05059636902583
"REGION1","S01B1","SEBMSTPH3","SEE1",2024,4.01749782004385
"REGION1","S01B1","SEBMSTPH3","SEE1",2025,3.85161504914642
"REGION1","S01B1","SEBMSTPH3","SEE1",2026,4.05059636902579
"REGION1","S01B1","SEBMSTPH3","SEE1",2027,3.73802989073432
"REGION1","S01B1","SEBMSTPH3","SEE1",2028,3.68405869741946
"REGION1","S01B1","SEBMSTPH3","SEE1",2029,3.88714576347646
"REGION1","S01B1","SEBMSTPH3","SEE1",2030,0.938623779873842
"REGION1","S01B1","SEBMSTPH3","SEE1",2031,0.915244980317514
"REGION1","S01B1","SEBMSTPH3","SEE1",2032,0.651591224295496
"REGION1","S01B1","SEBMSTPH3","SEE1",2033,1.04502403050109
"REGION1","S01B1","SEBMSTPH3","SEE1",2034,1.24461679866599
"REGION1","S01B1","SEBMSTPH3","SEE1",2035,2.86096722500731
"REGION1","S01B1","SEBMSTPH3","SEE1",2036,2.46585986892936
"REGION1","S01B1","SEBMSTPH3","SEE1",2037,2.86096722500731
"REGION1","S01B1","SEBMSTPH3","SEE1",2038,2.41888010317139
"REGION1","S01B1","SEBMSTPH3","SEE1",2039,2.85294339976596
"REGION1","S01B1","SEBMSTPH3","SEE1",2040,3.71932899436619
"REGION1","S01B1","SEBMSTPH3","SEE1",2041,6.43180418651707
"REGION1","S01B1","SEBMSTPH3","SEE1",2042,6.37766351456955
"REGION1","S01B1","SEBMSTPH3","SEE1",2043,6.82610458482172
"REGION1","S01B1","SEBMSTPH3","SEE1",2044,6.710991461317
"REGION1","S01B1","SEBMSTPH3","SEE1",2045,7.17383683614666
"REGION1","S01B1","SEBMSTPH3","SEE1",2046,7.17668695617291
"REGION1","S01B1","SEBMSTPH3","SEE1",2047,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2048,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2049,7.16670345789733
"REGION1","S01B1","SEBMSTPH3","SEE1",2050,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2051,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2052,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2053,6.37942041374873
"REGION1","S01B1","SEBMSTPH3","SEE1",2054,7.09618774992149
"REGION1","S01B1","SEBMSTPH3","SEE1",2055,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2056,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2057,7.11968940409746
"REGION1","S01B1","SEBMSTPH3","SEE1",2058,7.1778988248281
"REGION1","S01B1","SEBMSTPH3","SEE1",2059,7.12133655694993
"REGION1","S01B1","SEBMSTPH3","SEE1",2060,6.30877069121677
"REGION1","S01B1","SECO00I00","SECO",2015,0.371491593620003
"REGION1","S01B1","SECO00I00","SECO",2016,0.406164582102877
"REGION1","S01B1","SECO00I00","SECO",2017,0.473819113249715
"REGION1","S01B1","SECO00I00","SECO",2018,0.513628461330818
