REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","SEBF00X00","SEBF",2024,0.00175458220283143
"REGION1","SEBFHPFH1","SEE2",2024,0.00114047957232
"REGION1","SEBM00X00","SEBM",2019,1.36058647923782
"REGION1","SEBM00X00","SEBM",2020,77.0786945324218
"REGION1","SEBM00X00","SEBM",2021,89.7505193281219
"REGION1","SEBM00X00","SEBM",2022,139.242247712864
"REGION1","SEBM00X00","SEBM",2023,149.334505684379
"REGION1","SEBM00X00","SEBM",2024,176.38770994321
"REGION1","SEBM00X00","SEBM",2025,191.063669292465
"REGION1","SEBM00X00","SEBM",2026,188.595021954464
"REGION1","SEBM00X00","SEBM",2027,188.595021954464
"REGION1","SEBM00X00","SEBM",2028,188.437215906725
"REGION1","SEBM00X00","SEBM",2029,188.595021954464
"REGION1","SEBM00X00","SEBM",2030,49.6739067107118
"REGION1","SEBM00X00","SEBM",2031,48.3765704138243
"REGION1","SEBM00X00","SEBM",2032,52.5129826919351
"REGION1","SEBM00X00","SEBM",2033,59.5502499190289
"REGION1","SEBM00X00","SEBM",2034,68.7294085082762
"REGION1","SEBM00X00","SEBM",2035,142.10929243915
"REGION1","SEBM00X00","SEBM",2036,142.10929243915
"REGION1","SEBM00X00","SEBM",2037,142.10929243915
"REGION1","SEBM00X00","SEBM",2038,142.10929243915
"REGION1","SEBM00X00","SEBM",2039,142.10929243915
"REGION1","SEBM00X00","SEBM",2040,181.564908515368
"REGION1","SEBM00X00","SEBM",2041,305.028690521888
"REGION1","SEBM00X00","SEBM",2042,302.924609885379
"REGION1","SEBM00X00","SEBM",2043,318.059476493702
"REGION1","SEBM00X00","SEBM",2044,318.059476493702
"REGION1","SEBM00X00","SEBM",2045,334.110084922091
"REGION1","SEBM00X00","SEBM",2046,334.110084922091
"REGION1","SEBM00X00","SEBM",2047,334.110084922091
"REGION1","SEBM00X00","SEBM",2048,334.110084922092
"REGION1","SEBM00X00","SEBM",2049,334.110084922092
"REGION1","SEBM00X00","SEBM",2050,334.110084922092
"REGION1","SEBM00X00","SEBM",2051,334.110084922092
"REGION1","SEBM00X00","SEBM",2052,334.110084922092
"REGION1","SEBM00X00","SEBM",2053,334.110084922091
"REGION1","SEBM00X00","SEBM",2054,334.110084922092
"REGION1","SEBM00X00","SEBM",2055,334.110084922092
"REGION1","SEBM00X00","SEBM",2056,334.110084922092
"REGION1","SEBM00X00","SEBM",2057,334.110084922092
"REGION1","SEBM00X00","SEBM",2058,334.110084922092
"REGION1","SEBM00X00","SEBM",2059,334.110084922092
"REGION1","SEBM00X00","SEBM",2060,302.158785801544
"REGION1","SEBMCCPH1","SEE1",2019,0.030744564470784
"REGION1","SEBMCCPH1","SEE1",2020,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2021,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2022,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2023,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2024,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2025,0.981905278942909
"REGION1","SEBMCCPH1","SEE1",2060,3.73446136011897
"REGION1","SEBMCHPH3","SEE1",2025,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2026,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2027,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2029,0.0473418616633189
"REGION1","SEBMCHPH3","SEE1",2030,0.0236709308316594
"REGION1","SEBMSTPH3","SEE1",2019,0.446790652626797
"REGION1","SEBMSTPH3","SEE1",2020,26.0487407459987
"REGION1","SEBMSTPH3","SEE1",2021,30.4968435494207
"REGION1","SEBMSTPH3","SEE1",2022,47.8319254959865
"REGION1","SEBMSTPH3","SEE1",2023,51.3771790080945
"REGION1","SEBMSTPH3","SEE1",2024,60.8587730937719
"REGION1","SEBMSTPH3","SEE1",2025,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2026,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2027,64.6830102503642
"REGION1","SEBMSTPH3","SEE1",2028,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2029,64.6830102503641
"REGION1","SEBMSTPH3","SEE1",2030,16.0881873785823
"REGION1","SEBMSTPH3","SEE1",2031,14.615329460168
"REGION1","SEBMSTPH3","SEE1",2032,16.0630752052525
"REGION1","SEBMSTPH3","SEE1",2033,18.5261211977813
"REGION1","SEBMSTPH3","SEE1",2034,21.7388299167266
"REGION1","SEBMSTPH3","SEE1",2035,47.4218149755176
"REGION1","SEBMSTPH3","SEE1",2036,47.4218149755176
"REGION1","SEBMSTPH3","SEE1",2037,47.4218149755176
"REGION1","SEBMSTPH3","SEE1",2038,47.4218149755176
"REGION1","SEBMSTPH3","SEE1",2039,47.4218149755176
"REGION1","SEBMSTPH3","SEE1",2040,61.2312944116731
"REGION1","SEBMSTPH3","SEE1",2041,104.443661326322
"REGION1","SEBMSTPH3","SEE1",2042,103.707232367115
"REGION1","SEBMSTPH3","SEE1",2043,109.004440977237
"REGION1","SEBMSTPH3","SEE1",2044,109.004440977237
"REGION1","SEBMSTPH3","SEE1",2045,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2046,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2047,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2048,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2049,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2050,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2051,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2052,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2053,114.622159544891
"REGION1","SEBMSTPH3","SEE1",2054,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2055,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2056,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2057,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2058,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2059,114.622159544892
"REGION1","SEBMSTPH3","SEE1",2060,100.743259043931
"REGION1","SECO00I00","SECO",2015,7.5294828
"REGION1","SECO00I00","SECO",2016,8.4924428
"REGION1","SECO00I00","SECO",2017,9.4554128
"REGION1","SECO00I00","SECO",2018,10.4183728
"REGION1","SECO00I00","SECO",2019,11.3813428
"REGION1","SECO00I00","SECO",2020,12.3443028
"REGION1","SECO00I00","SECO",2021,12.3443028
"REGION1","SECO00I00","SECO",2022,12.3443028
"REGION1","SECO00I00","SECO",2023,12.3443028
"REGION1","SECO00I00","SECO",2024,12.3443028
