REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMCCPH1",2060,397.938988845715
"REGION1","SEBMSTPH3",2032,7.90333505535347
"REGION1","SEBMSTPH3",2033,26.1558783595261
"REGION1","SEBMSTPH3",2034,49.7835820569102
"REGION1","SEBMSTPH3",2035,516.30723846989
"REGION1","SEBMSTPH3",2040,553.695964966019
"REGION1","SEBMSTPH3",2041,1880.38566545763
"REGION1","SEBMSTPH3",2043,264.054448158948
"REGION1","SEBMSTPH3",2045,312.119596754201
"REGION1","SEGOCVPH2",2024,0.137523598460273
"REGION1","SEGOCVPH2",2025,0.0449299253762675
"REGION1","SEGOCVPH2",2026,0.217743331617413
"REGION1","SEGOCVPH2",2027,0.254905810366879
"REGION1","SEGOCVPH2",2028,0.290169865683184
"REGION1","SEGOCVPH2",2029,0.323638987192182
"REGION1","SEGOCVPH2",2030,0.355373615723234
"REGION1","SEGOCVPH2",2031,0.387157955885168
"REGION1","SEGOCVPH2",2032,0.416920036301078
"REGION1","SEGOCVPH2",2033,0.445303663504646
"REGION1","SEGOCVPH2",2034,0.47245403423034
"REGION1","SEGOCVPH2",2035,0.498339557332257
"REGION1","SEGOCVPH2",2036,0.523088938722297
"REGION1","SEGOCVPH2",2037,0.546765172038474
"REGION1","SEGOCVPH2",2038,0.56932209035259
"REGION1","SEGOCVPH2",2039,0.590941651393339
"REGION1","SEGOCVPH2",2040,0.611529021090848
"REGION1","SEGOCVPH2",2041,0.477762035553391
"REGION1","SEGOCVPH2",2042,0.491938417197526
"REGION1","SEGOCVPH2",2043,0.50546182369207
"REGION1","SEGOCVPH2",2044,0.518417681570674
"REGION1","SEGOCVPH2",2045,0.53077998046427
"REGION1","SEGOCVPH2",2046,0.199433922298276
"REGION1","SEGOCVPH2",2047,0.203562584073801
"REGION1","SEGOCVPH2",2048,0.207549465997463
"REGION1","SEGOCVPH2",2049,0.211318290047716
"REGION1","SEGOCVPH2",2050,0.214964132740848
"REGION1","SEGOCVPH2",2051,0.174299631883384
"REGION1","SEGOCVPH2",2052,0.178734352859207
"REGION1","SEGOCVPH2",2053,0.183176910086879
"REGION1","SEGOCVPH2",2054,0.187539397840178
"REGION1","SEGOCVPH2",2055,0.191849473292761
"REGION1","SEGOCVPH2",2056,0.196080903808633
"REGION1","SEGOCVPH2",2057,0.200377283820476
"REGION1","SEGOCVPH2",2058,0.204601895500127
"REGION1","SEGOCVPH2",2059,0.208804949657551
"REGION1","SEGOCVPH2",2060,0.21293975631391
"REGION1","SEHFCHPH3",2037,5.49019101245683
"REGION1","SEHFCHPH3",2038,14.342309646604
"REGION1","SEHFCHPH3",2039,33.62780121062
"REGION1","SEHFCHPH3",2040,52.6117343943313
"REGION1","SEHFCHPH3",2041,67.7822825557237
"REGION1","SEHFCHPH3",2042,76.7106880390909
"REGION1","SEHFCHPH3",2043,147.82851816693
"REGION1","SEHFCHPH3",2044,130.082913173404
"REGION1","SEHFCHPH3",2045,188.097111703237
"REGION1","SEHFCHPH3",2046,502.403559765342
"REGION1","SEHFCHPH3",2047,1049.37169280793
"REGION1","SEHFCHPH3",2048,324.000637718088
"REGION1","SEHFCHPH3",2049,164.730956690784
"REGION1","SEHFCHPH3",2050,57.7095252051892
"REGION1","SEHFCHPH3",2051,24.8262048563821
"REGION1","SEHFCHPH3",2052,26.0302224430766
"REGION1","SEHFCHPH3",2053,66.2856294514225
"REGION1","SEHFCHPH3",2054,111.43066858303
"REGION1","SEHFCHPH3",2055,284.343438562881
"REGION1","SEHFCHPH3",2056,39.4356042453786
"REGION1","SEHFCHPH3",2058,141.34687416437
"REGION1","SEHFCHPH3",2059,219.386589116581
"REGION1","SEHFCHPH3",2060,253.424682162973
"REGION1","SEHYDMPH3",2030,6310.60453756059
"REGION1","SEHYDMPH3",2031,364.219635856421
"REGION1","SEHYDMPH3",2032,626.585371458227
"REGION1","SEHYDMPH3",2033,1062.5996858071
"REGION1","SEHYDMPH3",2034,856.589850357766
"REGION1","SEHYDMPH3",2035,1201.34414167009
"REGION1","SEHYDMPH3",2036,655.680168736019
"REGION1","SEHYDMPH3",2037,1036.46268349288
"REGION1","SEHYDMPH3",2038,1244.65496457688
"REGION1","SEHYDMPH3",2039,619.884612871089
"REGION1","SEHYDMPH3",2040,877.016726078488
"REGION1","SEHYDMPH3",2041,1653.88543195934
"REGION1","SEHYDMPH3",2043,1764.50451402804
"REGION1","SEHYDMPH3",2045,2728.10337785856
"REGION1","SEHYDMPH3",2046,571.015969248399
"REGION1","SEHYDMPH3",2047,1554.8025545313
"REGION1","SEHYDMPH3",2048,1044.68905023175
"REGION1","SEHYDMPH3",2049,556.883824689985
"REGION1","SEHYDMPH3",2050,932.845235491274
"REGION1","SEHYDMPH3",2051,982.577816407397
"REGION1","SEHYDMPH3",2052,678.518863082916
"REGION1","SEHYDMPH3",2053,1150.13359697868
"REGION1","SEHYDMPH3",2054,1148.42835933862
"REGION1","SEHYDMPH3",2055,1615.07834697227
"REGION1","SEHYDMPH3",2056,977.080709423393
"REGION1","SEHYDMPH3",2057,763.81975360156
"REGION1","SEHYDMPH3",2060,3659.90453904731
"REGION1","SENGGCPN2",2054,101.601440546087
"REGION1","SENGGCPN2",2055,9.52804641401715
"REGION1","SENGGCPN2",2056,105.127186958233
"REGION1","SEWIONPN3",2037,87.7177591349884
"REGION1","SEWIONPN3",2038,211.710208504509
"REGION1","SEWIONPN3",2039,433.631077195889
"REGION1","SEWIONPN3",2040,604.142372472411
"REGION1","SEWIONPN3",2041,735.823472922359
"REGION1","SEWIONPN3",2042,505.577598502035
"REGION1","SEWIONPN3",2043,978.588223507645
"REGION1","SEWIONPN3",2044,914.850875345402
"REGION1","SEWIONPN3",2045,1196.10978331831
"REGION1","SEWIONPN3",2046,277.697812017672
"REGION1","SEWIONPN3",2047,297.978995412211
"REGION1","SEWIONPN3",2048,317.092615499882
"REGION1","SEWIONPN3",2049,335.162546668213
"REGION1","SEWIONPN3",2050,352.294988096274
"REGION1","SEWIONPN3",2051,194.219491550895
"REGION1","SEWIONPN3",2052,199.70653628672
"REGION1","SEWIONPN3",2053,204.768189830061
"REGION1","SEWIONPN3",2054,183.652176782221
"REGION1","SEWIONPN3",2055,520.656290510685
"REGION1","SEWIONPN3",2056,1494.56389075295
