REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.0160105686048
"REGION1","SEBFHPFH1",2015,0.008132
"REGION1","SEBFHPFH1",2016,0.008132
"REGION1","SEBFHPFH1",2017,0.008132
"REGION1","SEBFHPFH1",2018,0.008132
"REGION1","SEBFHPFH1",2019,0.008132
"REGION1","SEBFHPFH1",2020,0.008132
"REGION1","SEBFHPFH1",2021,0.008132
"REGION1","SEBFHPFH1",2022,0.008132
"REGION1","SEBFHPFH1",2023,0.000956
"REGION1","SEBFHPFH1",2024,0.00033
"REGION1","SEBFHPFH1",2025,0.00025
"REGION1","SEBFHPFH1",2026,0.00025
"REGION1","SEBM00X00",2019,62.0767813940184
"REGION1","SEBM00X00",2020,161.690907535314
"REGION1","SEBM00X00",2021,176.013799062926
"REGION1","SEBM00X00",2022,265.392460689927
"REGION1","SEBM00X00",2023,267.644364704297
"REGION1","SEBM00X00",2024,265.434139266934
"REGION1","SEBM00X00",2025,258.974066875531
"REGION1","SEBM00X00",2026,268.416739261514
"REGION1","SEBM00X00",2027,248.044115462919
"REGION1","SEBM00X00",2028,244.292565736752
"REGION1","SEBM00X00",2029,257.763268951099
"REGION1","SEBM00X00",2030,65.7828729802927
"REGION1","SEBM00X00",2031,67.261823521628
"REGION1","SEBM00X00",2032,69.1510577033535
"REGION1","SEBM00X00",2033,75.7206313271902
"REGION1","SEBM00X00",2034,88.7297946929175
"REGION1","SEBM00X00",2035,194.081140565149
"REGION1","SEBM00X00",2036,194.08114056515
"REGION1","SEBM00X00",2037,194.08114056515
"REGION1","SEBM00X00",2038,193.55815942539
"REGION1","SEBM00X00",2039,193.55815942539
"REGION1","SEBM00X00",2040,250.027899494103
"REGION1","SEBM00X00",2041,426.82304705686
"REGION1","SEBM00X00",2042,423.294237608645
"REGION1","SEBM00X00",2043,452.522967669607
"REGION1","SEBM00X00",2044,445.020063416208
"REGION1","SEBM00X00",2045,475.18764488517
"REGION1","SEBM00X00",2046,475.373411520776
"REGION1","SEBM00X00",2047,475.452399339114
