REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBF00X00",2024,0.00175458220283143
"REGION1","SEBFHPFH1",2024,0.00114047957232
"REGION1","SEBM00X00",2019,1.36058647923782
"REGION1","SEBM00X00",2020,77.0786945324218
"REGION1","SEBM00X00",2021,89.7505193281219
"REGION1","SEBM00X00",2022,139.242247712864
"REGION1","SEBM00X00",2023,149.334505684379
"REGION1","SEBM00X00",2024,176.38770994321
"REGION1","SEBM00X00",2025,191.063669292465
"REGION1","SEBM00X00",2026,188.595021954464
"REGION1","SEBM00X00",2027,188.595021954464
"REGION1","SEBM00X00",2028,188.437215906725
"REGION1","SEBM00X00",2029,188.595021954464
"REGION1","SEBM00X00",2030,49.6739067107118
"REGION1","SEBM00X00",2031,48.3765704138243
"REGION1","SEBM00X00",2032,52.5129826919351
"REGION1","SEBM00X00",2033,59.5502499190289
"REGION1","SEBM00X00",2034,68.7294085082762
"REGION1","SEBM00X00",2035,142.10929243915
"REGION1","SEBM00X00",2036,142.10929243915
"REGION1","SEBM00X00",2037,142.10929243915
"REGION1","SEBM00X00",2038,142.10929243915
"REGION1","SEBM00X00",2039,142.10929243915
"REGION1","SEBM00X00",2040,181.564908515368
"REGION1","SEBM00X00",2041,305.028690521888
"REGION1","SEBM00X00",2042,302.924609885379
"REGION1","SEBM00X00",2043,318.059476493702
"REGION1","SEBM00X00",2044,318.059476493702
"REGION1","SEBM00X00",2045,334.110084922091
"REGION1","SEBM00X00",2046,334.110084922091
"REGION1","SEBM00X00",2047,334.110084922091
"REGION1","SEBM00X00",2048,334.110084922092
"REGION1","SEBM00X00",2049,334.110084922092
"REGION1","SEBM00X00",2050,334.110084922092
"REGION1","SEBM00X00",2051,334.110084922092
"REGION1","SEBM00X00",2052,334.110084922092
"REGION1","SEBM00X00",2053,334.110084922091
"REGION1","SEBM00X00",2054,334.110084922092
"REGION1","SEBM00X00",2055,334.110084922092
"REGION1","SEBM00X00",2056,334.110084922092
"REGION1","SEBM00X00",2057,334.110084922092
"REGION1","SEBM00X00",2058,334.110084922092
"REGION1","SEBM00X00",2059,334.110084922092
"REGION1","SEBM00X00",2060,302.158785801544
"REGION1","SEBMCCPH1",2019,0.030744564470784
"REGION1","SEBMCCPH1",2020,0.981905278942909
"REGION1","SEBMCCPH1",2021,0.981905278942909
"REGION1","SEBMCCPH1",2022,0.981905278942909
"REGION1","SEBMCCPH1",2023,0.981905278942909
"REGION1","SEBMCCPH1",2024,0.981905278942909
"REGION1","SEBMCCPH1",2025,0.981905278942909
"REGION1","SEBMCCPH1",2060,3.73446136011897
"REGION1","SEBMCHPH3",2025,0.0473418616633189
"REGION1","SEBMCHPH3",2026,0.0473418616633189
"REGION1","SEBMCHPH3",2027,0.0473418616633189
"REGION1","SEBMCHPH3",2029,0.0473418616633189
"REGION1","SEBMCHPH3",2030,0.0236709308316594
"REGION1","SEBMSTPH3",2019,0.446790652626797
"REGION1","SEBMSTPH3",2020,26.0487407459987
"REGION1","SEBMSTPH3",2021,30.4968435494207
"REGION1","SEBMSTPH3",2022,47.8319254959865
"REGION1","SEBMSTPH3",2023,51.3771790080945
"REGION1","SEBMSTPH3",2024,60.8587730937719
"REGION1","SEBMSTPH3",2025,64.6830102503641
"REGION1","SEBMSTPH3",2026,64.6830102503641
"REGION1","SEBMSTPH3",2027,64.6830102503642
"REGION1","SEBMSTPH3",2028,64.6830102503641
"REGION1","SEBMSTPH3",2029,64.6830102503641
"REGION1","SEBMSTPH3",2030,16.0881873785823
"REGION1","SEBMSTPH3",2031,14.615329460168
"REGION1","SEBMSTPH3",2032,16.0630752052525
"REGION1","SEBMSTPH3",2033,18.5261211977813
"REGION1","SEBMSTPH3",2034,21.7388299167266
"REGION1","SEBMSTPH3",2035,47.4218149755176
"REGION1","SEBMSTPH3",2036,47.4218149755176
"REGION1","SEBMSTPH3",2037,47.4218149755176
"REGION1","SEBMSTPH3",2038,47.4218149755176
"REGION1","SEBMSTPH3",2039,47.4218149755176
"REGION1","SEBMSTPH3",2040,61.2312944116731
"REGION1","SEBMSTPH3",2041,104.443661326322
"REGION1","SEBMSTPH3",2042,103.707232367115
"REGION1","SEBMSTPH3",2043,109.004440977237
"REGION1","SEBMSTPH3",2044,109.004440977237
"REGION1","SEBMSTPH3",2045,114.622159544892
"REGION1","SEBMSTPH3",2046,114.622159544892
"REGION1","SEBMSTPH3",2047,114.622159544892
"REGION1","SEBMSTPH3",2048,114.622159544892
"REGION1","SEBMSTPH3",2049,114.622159544892
"REGION1","SEBMSTPH3",2050,114.622159544892
"REGION1","SEBMSTPH3",2051,114.622159544892
"REGION1","SEBMSTPH3",2052,114.622159544892
"REGION1","SEBMSTPH3",2053,114.622159544891
"REGION1","SEBMSTPH3",2054,114.622159544892
"REGION1","SEBMSTPH3",2055,114.622159544892
"REGION1","SEBMSTPH3",2056,114.622159544892
"REGION1","SEBMSTPH3",2057,114.622159544892
"REGION1","SEBMSTPH3",2058,114.622159544892
"REGION1","SEBMSTPH3",2059,114.622159544892
"REGION1","SEBMSTPH3",2060,100.743259043931
"REGION1","SECO00I00",2015,7.5294828
"REGION1","SECO00I00",2016,8.4924428
"REGION1","SECO00I00",2017,9.4554128
"REGION1","SECO00I00",2018,10.4183728
"REGION1","SECO00I00",2019,11.3813428
"REGION1","SECO00I00",2020,12.3443028
"REGION1","SECO00I00",2021,12.3443028
"REGION1","SECO00I00",2022,12.3443028
"REGION1","SECO00I00",2023,12.3443028
"REGION1","SECO00I00",2024,12.3443028
"REGION1","SECO00I00",2025,3.6675828
"REGION1","SECO00I00",2026,4.4630728
"REGION1","SECO00I00",2027,5.2585628
"REGION1","SECO00I00",2028,6.05406279999999
"REGION1","SECO00I00",2029,6.84955079999999
"REGION1","SECO00I00",2030,7.64504280000007
"REGION1","SECO00I00",2031,0.496389599999999
"REGION1","SECO00I00",2032,0.496389599999999
"REGION1","SECO00I00",2033,0.4963896
"REGION1","SECO00I00",2034,0.4963896
"REGION1","SECO00I00",2035,0.4963896
"REGION1","SECO00I00",2036,0.4963896
"REGION1","SECO00I00",2037,0.4963896
"REGION1","SECO00I00",2038,0.4963896
"REGION1","SECO00I00",2039,0.4963896
"REGION1","SECO00I00",2040,0.4963896
"REGION1","SECO00I00",2041,0.4963896
"REGION1","SECO00I00",2042,0.496389599999999
"REGION1","SECO00I00",2043,0.4963896
"REGION1","SECO00I00",2044,0.4963896
"REGION1","SECO00I00",2045,0.4963896
"REGION1","SECO00I00",2046,0.4963896
"REGION1","SECO00I00",2047,0.4963896
"REGION1","SECO00I00",2048,0.4963896
"REGION1","SECO00I00",2049,0.4963896
"REGION1","SECO00I00",2050,0.4963896
"REGION1","SECO00I00",2051,0.4963896
"REGION1","SECO00I00",2052,0.4963896
"REGION1","SECO00I00",2053,0.4963896
"REGION1","SECO00I00",2054,0.4963896
"REGION1","SECO00I00",2055,0.4963896
"REGION1","SECO00I00",2056,0.496389599999998
"REGION1","SECO00I00",2057,0.4963896
"REGION1","SECO00I00",2058,0.4963896
"REGION1","SECO00I00",2059,0.4963896
"REGION1","SECO00I00",2060,0.4963896
"REGION1","SECO00X00",2015,8.79228
"REGION1","SECO00X00",2016,7.82932
"REGION1","SECO00X00",2017,6.86635
"REGION1","SECO00X00",2018,5.90339
"REGION1","SECO00X00",2019,4.94042
"REGION1","SECO00X00",2020,3.97746
"REGION1","SECO00X00",2021,3.97746
"REGION1","SECO00X00",2022,3.97746
"REGION1","SECO00X00",2023,3.97746
"REGION1","SECO00X00",2024,3.97746
"REGION1","SECO00X00",2025,3.97746
"REGION1","SECO00X00",2026,3.18197
"REGION1","SECO00X00",2027,2.38648
"REGION1","SECO00X00",2028,1.59098
"REGION1","SECO00X00",2029,0.795492
"REGION1","SEEL00TD0",2015,490.62541446554
"REGION1","SEEL00TD0",2016,495.454885783309
"REGION1","SEEL00TD0",2017,500.28540973214
"REGION1","SEEL00TD0",2018,505.115933680972
"REGION1","SEEL00TD0",2019,509.94540499874
"REGION1","SEEL00TD0",2020,514.775928947572
"REGION1","SEEL00TD0",2021,517.815510380113
"REGION1","SEEL00TD0",2022,520.856561521576
"REGION1","SEEL00TD0",2023,523.897612663039
"REGION1","SEEL00TD0",2024,526.938933008611
"REGION1","SEEL00TD0",2025,534.815037286467
