REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMCCPH1","SEBM",2020,0.166186668790376
"REGION1","S01B1","SEBMCCPH1","SEBM",2021,0.163867913737989
"REGION1","S01B1","SEBMCCPH1","SEBM",2022,0.161549158685603
"REGION1","S01B1","SEBMCCPH1","SEBM",2023,0.159230403633216
"REGION1","S01B1","SEBMCCPH1","SEBM",2024,0.15691103368954
"REGION1","S01B1","SEBMCCPH1","SEBM",2025,0.154592278637154
"REGION1","S01B1","SEBMCCPH1","SEBM",2060,0.482358153533192
"REGION1","S01B1","SEBMCHPH3","SEBM",2025,0.0102481779087398
"REGION1","S01B1","SEBMCHPH3","SEBM",2026,0.0102481779087398
"REGION1","S01B1","SEBMCHPH3","SEBM",2027,0.0102481779087398
"REGION1","S01B1","SEBMCHPH3","SEBM",2029,0.0102481779087398
"REGION1","S01B1","SEBMSTPH3","SEBM",2020,5.17921167322664
"REGION1","S01B1","SEBMSTPH3","SEBM",2021,5.52203038428774
"REGION1","S01B1","SEBMSTPH3","SEBM",2022,11.4720885911338
"REGION1","S01B1","SEBMSTPH3","SEBM",2023,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2024,11.4785537215601
"REGION1","S01B1","SEBMSTPH3","SEBM",2025,11.0046034215182
"REGION1","S01B1","SEBMSTPH3","SEBM",2026,11.5731209097984
"REGION1","S01B1","SEBMSTPH3","SEBM",2027,10.6800747220127
"REGION1","S01B1","SEBMSTPH3","SEBM",2028,10.525871466745
"REGION1","S01B1","SEBMSTPH3","SEBM",2029,11.1061196466591
"REGION1","S01B1","SEBMSTPH3","SEBM",2030,2.68177954642875
"REGION1","S01B1","SEBMSTPH3","SEBM",2031,2.61498304306438
"REGION1","S01B1","SEBMSTPH3","SEBM",2032,1.86168735058363
"REGION1","S01B1","SEBMSTPH3","SEBM",2033,2.98577995850588
"REGION1","S01B1","SEBMSTPH3","SEBM",2034,3.55604444014056
"REGION1","S01B1","SEBMSTPH3","SEBM",2035,8.17418389725737
"REGION1","S01B1","SEBMSTPH3","SEBM",2036,7.04530686591284
"REGION1","S01B1","SEBMSTPH3","SEBM",2037,8.17418389725738
"REGION1","S01B1","SEBMSTPH3","SEBM",2038,6.91107909797511
"REGION1","S01B1","SEBMSTPH3","SEBM",2039,8.15125870520732
"REGION1","S01B1","SEBMSTPH3","SEBM",2040,10.6266436429634
"REGION1","S01B1","SEBMSTPH3","SEBM",2041,18.3765650134654
"REGION1","S01B1","SEBMSTPH3","SEBM",2042,18.2218775340172
"REGION1","S01B1","SEBMSTPH3","SEBM",2043,19.5031364534775
"REGION1","S01B1","SEBMSTPH3","SEBM",2044,19.1742421437873
"REGION1","S01B1","SEBMSTPH3","SEBM",2045,20.4966561780281
"REGION1","S01B1","SEBMSTPH3","SEBM",2046,20.5047993699599
"REGION1","S01B1","SEBMSTPH3","SEBM",2047,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2048,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2049,20.4762751176968
"REGION1","S01B1","SEBMSTPH3","SEBM",2050,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2051,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2052,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2053,18.2268972409381
"REGION1","S01B1","SEBMSTPH3","SEBM",2054,20.2748018678107
"REGION1","S01B1","SEBMSTPH3","SEBM",2055,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2056,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2057,20.341949384023
"REGION1","S01B1","SEBMSTPH3","SEBM",2058,20.5082618483694
"REGION1","S01B1","SEBMSTPH3","SEBM",2059,20.3466555303239
"REGION1","S01B1","SEBMSTPH3","SEBM",2060,18.0250410927031
"REGION1","S01B1","SEEL00TD0","SEE1",2015,22.460915102697
"REGION1","S01B1","SEEL00TD0","SEE1",2016,22.6839717726036
"REGION1","S01B1","SEEL00TD0","SEE1",2017,22.9034607787349
"REGION1","S01B1","SEEL00TD0","SEE1",2018,23.1238251013508
"REGION1","S01B1","SEEL00TD0","SEE1",2019,23.3457625627984
"REGION1","S01B1","SEEL00TD0","SEE1",2020,23.5681512138712
"REGION1","S01B1","SEEL00TD0","SEE1",2021,23.7098042036926
"REGION1","S01B1","SEEL00TD0","SEE1",2022,23.8490083879031
"REGION1","S01B1","SEEL00TD0","SEE1",2023,23.9882125721136
"REGION1","S01B1","SEEL00TD0","SEE1",2024,24.1274167563242
"REGION1","S01B1","SEEL00TD0","SEE1",2025,24.5226401749148
"REGION1","S01B1","SEEL00TD0","SEE1",2026,24.6433346257424
"REGION1","S01B1","SEEL00TD0","SEE1",2027,24.8075464152161
"REGION1","S01B1","SEEL00TD0","SEE1",2028,25.0052616550134
"REGION1","S01B1","SEEL00TD0","SEE1",2029,25.1378268375213
"REGION1","S01B1","SEEL00TD0","SEE1",2030,25.3001817836371
"REGION1","S01B1","SEEL00TD0","SEE1",2031,25.6661980515423
"REGION1","S01B1","SEEL00TD0","SEE1",2032,25.8009692883844
"REGION1","S01B1","SEEL00TD0","SEE1",2033,25.9356923411925
"REGION1","S01B1","SEEL00TD0","SEE1",2034,26.0704635780346
"REGION1","S01B1","SEEL00TD0","SEE1",2035,26.2052348149083
"REGION1","S01B1","SEEL00TD0","SEE1",2036,26.361351657068
"REGION1","S01B1","SEEL00TD0","SEE1",2037,26.5175166834873
"REGION1","S01B1","SEEL00TD0","SEE1",2038,26.6736817098031
"REGION1","S01B1","SEEL00TD0","SEE1",2039,26.8297985519084
"REGION1","S01B1","SEEL00TD0","SEE1",2040,26.9859635782241
"REGION1","S01B1","SEEL00TD0","SEE1",2041,27.2280410519084
"REGION1","S01B1","SEEL00TD0","SEE1",2042,27.4701185255926
"REGION1","S01B1","SEEL00TD0","SEE1",2043,27.7121959992768
"REGION1","S01B1","SEEL00TD0","SEE1",2044,27.954273472961
"REGION1","S01B1","SEEL00TD0","SEE1",2045,28.1963991308557
"REGION1","S01B1","SEEL00TD0","SEE1",2046,28.4114452624347
"REGION1","S01B1","SEEL00TD0","SEE1",2047,28.6264913940136
"REGION1","S01B1","SEEL00TD0","SEE1",2048,28.8415375255926
"REGION1","S01B1","SEEL00TD0","SEE1",2049,29.0565836571715
"REGION1","S01B1","SEEL00TD0","SEE1",2050,29.2716297887505
"REGION1","S01B1","SEEL00TD0","SEE1",2051,29.3866936834873
"REGION1","S01B1","SEEL00TD0","SEE1",2052,29.5021912361189
"REGION1","S01B1","SEEL00TD0","SEE1",2053,29.6181224466452
"REGION1","S01B1","SEEL00TD0","SEE1",2054,29.7345836834873
"REGION1","S01B1","SEEL00TD0","SEE1",2055,29.8514303940136
"REGION1","S01B1","SEEL00TD0","SEE1",2056,29.9394629466452
"REGION1","S01B1","SEEL00TD0","SEE1",2057,30.6631833799733
"REGION1","S01B1","SEEL00TD0","SEE1",2058,30.6639331528992
"REGION1","S01B1","SEEL00TD0","SEE1",2059,30.7527366528992
"REGION1","S01B1","SEEL00TD0","SEE1",2060,30.7821665984344
"REGION1","S01B1","SEGOCVPH2","SEGO",2024,0.00154552268213036
"REGION1","S01B1","SEGOCVPH2","SEGO",2025,0.00133824489418343
"REGION1","S01B1","SEGOCVPH2","SEGO",2026,0.00347742603479332
"REGION1","S01B1","SEGOCVPH2","SEGO",2027,0.00347944311756295
"REGION1","S01B1","SEGOCVPH2","SEGO",2028,0.00656846217051028
"REGION1","S01B1","SEGOCVPH2","SEGO",2029,0.00811401253827196
"REGION1","S01B1","SEGOCVPH2","SEGO",2030,0.00965951676331478
"REGION1","S01B1","SEGOCVPH2","SEGO",2032,0.0127505713561193
"REGION1","S01B1","SEGOCVPH2","SEGO",2033,0.0142960755811621
"REGION1","S01B1","SEGOCVPH2","SEGO",2034,0.0158416259489238
"REGION1","S01B1","SEGOCVPH2","SEGO",2035,0.0173871301739666
"REGION1","S01B1","SEGOCVPH2","SEGO",2036,0.0189326343990094
"REGION1","S01B1","SEGOCVPH2","SEGO",2038,0.0220236889918139
"REGION1","S01B1","SEGOCVPH2","SEGO",2039,0.0235692393595756
"REGION1","S01B1","SEGOCVPH2","SEGO",2040,0.0251147435846184
"REGION1","S01B1","SEGOCVPH2","SEGO",2041,0.00136841184321672
"REGION1","S01B1","SEGOCVPH2","SEGO",2042,0.0274330460649015
"REGION1","S01B1","SEGOCVPH2","SEGO",2043,0.0285921511623242
"REGION1","S01B1","SEGOCVPH2","SEGO",2044,0.0297513024024657
"REGION1","S01B1","SEGOCVPH2","SEGO",2045,0.0149722592686112
"REGION1","S01B1","SEGOCVPH2","SEGO",2046,0.023472625655456
"REGION1","S01B1","SEGOCVPH2","SEGO",2047,0.023762390222265
"REGION1","S01B1","SEGOCVPH2","SEGO",2048,0.0320696048827488
