REGION,EMISSION,YEAR,VALUE
"REGION1","CO2",2015,5462.160888996
"REGION1","CO2",2016,5462.160888996
"REGION1","CO2",2017,5462.160888996
"REGION1","CO2",2018,5462.160888996
"REGION1","CO2",2019,5462.160888996
"REGION1","CO2",2020,5462.160888996
"REGION1","CO2",2021,5462.29289345846
"REGION1","CO2",2022,5462.29241176467
"REGION1","CO2",2023,5462.29193007087
"REGION1","CO2",2024,5462.160888996
"REGION1","CO2",2025,3109.387620276
"REGION1","CO2",2026,3109.387620276
"REGION1","CO2",2027,3109.387620276
"REGION1","CO2",2028,3109.387620276
"REGION1","CO2",2029,3109.387620276
"REGION1","CO2",2030,3140.45437716947
"REGION1","CO2",2031,1192.48272254862
"REGION1","CO2",2032,1192.48272254862
"REGION1","CO2",2033,1192.48272254863
"REGION1","CO2",2034,1190.38391175893
"REGION1","CO2",2035,1186.14982931001
"REGION1","CO2",2036,1189.3598733442
"REGION1","CO2",2037,1189.18252263496
"REGION1","CO2",2038,1190.20576011898
"REGION1","CO2",2039,1189.93342231986
"REGION1","CO2",2040,1190.116684299
"REGION1","CO2",2041,1177.51982845112
"REGION1","CO2",2042,1173.1337068241
"REGION1","CO2",2043,1182.85881548725
"REGION1","CO2",2044,1174.84505027313
"REGION1","CO2",2045,1189.50181666639
"REGION1","CO2",2046,1188.62586101202
"REGION1","CO2",2047,1187.7536642616
"REGION1","CO2",2048,1186.97428957729
"REGION1","CO2",2049,1186.27045566047
"REGION1","CO2",2050,1185.56965099854
"REGION1","CO2",2051,1184.14759585211
"REGION1","CO2",2052,1182.77165333806
"REGION1","CO2",2053,1181.44065275509
"REGION1","CO2",2054,1207.38664952081
"REGION1","CO2",2055,1208.99178196731
"REGION1","CO2",2056,1247.34317611332
"REGION1","CO2",2057,638.347999999998
"REGION1","CO2",2058,638.347999999988
"REGION1","CO2",2059,638.348
"REGION1","CO2",2060,638.347999999999
"REGION1","SEHO",2015,237.06390300599
"REGION1","SEHO",2016,233.736891823928
"REGION1","SEHO",2017,230.860733983772
"REGION1","SEHO",2018,224.234210978879
"REGION1","SEHO",2019,222.902640665209
"REGION1","SEHO",2020,222.422359179721
"REGION1","SEHO",2021,221.769125303402
"REGION1","SEHO",2022,220.205420120266
"REGION1","SEHO",2023,219.974249642976
"REGION1","SEHO",2024,214.973592569805
"REGION1","SEHO",2025,214.694627950891
"REGION1","SEHO",2026,214.269799015477
"REGION1","SEHO",2027,213.739950608632
"REGION1","SEHO",2028,213.68307983477
"REGION1","SEHO",2029,209.826220245863
"REGION1","SEHO",2030,251.334
"REGION1","SEHO",2031,252.405
"REGION1","SEHO",2032,253.477
"REGION1","SEHO",2033,254.549
"REGION1","SEHO",2034,255.342495012616
"REGION1","SEHO",2035,256.693
"REGION1","SEHO",2036,256.684
"REGION1","SEHO",2037,256.676
"REGION1","SEHO",2038,256.668
"REGION1","SEHO",2039,252.933364919419
"REGION1","SEHO",2040,256.651
"REGION1","SEHO",2041,258.233
"REGION1","SEHO",2042,254.17588721236
"REGION1","SEHO",2043,261.399
"REGION1","SEHO",2044,252.179339893896
"REGION1","SEHO",2045,264.564
"REGION1","SEHO",2046,266.155
"REGION1","SEHO",2047,267.746
"REGION1","SEHO",2048,269.337
"REGION1","SEHO",2049,270.928
"REGION1","SEHO",2050,272.519
"REGION1","SEHO",2051,273.881
"REGION1","SEHO",2052,275.251
"REGION1","SEHO",2053,276.627
"REGION1","SEHO",2054,278.01
"REGION1","SEHO",2055,279.4
"REGION1","SEHO",2056,276.977835790506
"REGION1","SEHO",2057,281.64
"REGION1","SEHO",2058,273.354396262292
"REGION1","SEHO",2059,271.827862724614
"REGION1","SEHO",2060,285.033
"REGION1","SEPM25",2015,0.0288815010315375
"REGION1","SEPM25",2016,0.0279456662509636
"REGION1","SEPM25",2017,0.0262111523277635
"REGION1","SEPM25",2018,0.025391585975415
"REGION1","SEPM25",2019,0.0853345027033409
"REGION1","SEPM25",2020,3.49179314415329
"REGION1","SEPM25",2021,4.08189975981159
"REGION1","SEPM25",2022,6.3856138639209
"REGION1","SEPM25",2023,6.85493712948595
"REGION1","SEPM25",2024,8.16060418103901
"REGION1","SEPM25",2025,8.69999453918197
"REGION1","SEPM25",2026,8.69389346661084
"REGION1","SEPM25",2027,8.69372323583506
"REGION1","SEPM25",2028,8.70347689876994
"REGION1","SEPM25",2029,8.73393201226365
"REGION1","SEPM25",2030,2.26776213919849
"REGION1","SEPM25",2031,2.06719506412886
"REGION1","SEPM25",2032,2.2582317143291
"REGION1","SEPM25",2033,2.5825019817594
"REGION1","SEPM25",2034,3.01007759451221
"REGION1","SEPM25",2035,6.42439457024069
"REGION1","SEPM25",2036,6.42244583410051
"REGION1","SEPM25",2037,6.42049198123173
"REGION1","SEPM25",2038,6.41854021821142
"REGION1","SEPM25",2039,6.41658620219502
"REGION1","SEPM25",2040,8.2512937464041
"REGION1","SEPM25",2041,13.9979299979785
"REGION1","SEPM25",2042,13.8993907313851
"REGION1","SEPM25",2043,14.6033508281545
"REGION1","SEPM25",2044,14.6027501952843
"REGION1","SEPM25",2045,15.3493469268032
"REGION1","SEPM25",2046,15.3480043788602
"REGION1","SEPM25",2047,15.3466618309193
"REGION1","SEPM25",2048,15.3453194416449
"REGION1","SEPM25",2049,15.3439771812602
"REGION1","SEPM25",2050,15.3426349208787
"REGION1","SEPM25",2051,15.3409686781303
"REGION1","SEPM25",2052,15.3393307665721
"REGION1","SEPM25",2053,15.337721184109
"REGION1","SEPM25",2054,15.3361871778915
"REGION1","SEPM25",2055,15.3346363736633
"REGION1","SEPM25",2056,15.332998935654
"REGION1","SEPM25",2057,15.331210995393
"REGION1","SEPM25",2058,15.3295613911721
"REGION1","SEPM25",2059,15.3279502693144
"REGION1","SEPM25",2060,13.481249814193
"REGION1","SESO",2015,0.320131477856735
"REGION1","SESO",2016,0.320131477856735
"REGION1","SESO",2017,0.320131477856735
"REGION1","SESO",2018,0.320131477856735
"REGION1","SESO",2019,0.320131477856735
"REGION1","SESO",2020,0.320131477856735
"REGION1","SESO",2021,0.320131477856735
"REGION1","SESO",2022,0.320131477856735
"REGION1","SESO",2023,0.320131477856735
"REGION1","SESO",2024,0.320131477856735
"REGION1","SESO",2025,0.320131477856735
"REGION1","SESO",2026,0.320106852358797
"REGION1","SESO",2027,0.320106852358797
"REGION1","SESO",2028,0.320106852358797
"REGION1","SESO",2029,0.320106852358797
"REGION1","SESO",2030,0.320106852358797
"REGION1","SESO",2031,0.320106852358797
"REGION1","SESO",2032,0.301662354133698
"REGION1","SESO",2033,0.295505979566522
"REGION1","SESO",2034,0.29242779227929
"REGION1","SESO",2035,0.286271417706129
"REGION1","SESO",2036,0.283193230421146
"REGION1","SESO",2037,0.246254982978627
"REGION1","SESO",2038,0.187769424521203
"REGION1","SESO",2039,0.135440240638245
"REGION1","SEWI",2015,48.8015922979716
"REGION1","SEWI",2016,48.8015922979716
"REGION1","SEWI",2017,48.8015922979716
"REGION1","SEWI",2018,48.8015922979716
"REGION1","SEWI",2019,48.8015922979716
"REGION1","SEWI",2020,48.8015922979716
"REGION1","SEWI",2021,48.8015922979716
"REGION1","SEWI",2022,48.7850100343626
"REGION1","SEWI",2023,48.5104013403936
"REGION1","SEWI",2024,46.8798921930643
"REGION1","SEWI",2025,46.5949496246723
"REGION1","SEWI",2026,46.3424506155153
"REGION1","SEWI",2027,46.1470682921225
"REGION1","SEWI",2028,46.0447709460903
"REGION1","SEWI",2029,45.9122730523258
