REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"REGION1","SEBFHPFH1","SEPM25",2024,2.4748406719344e-05
"REGION1","SEBMCCPH1","SEPM25",2019,6.1489128941568e-06
"REGION1","SEBMCCPH1","SEPM25",2020,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2021,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2022,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2023,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2024,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2025,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2060,0.000746892272023795
"REGION1","SEBMCHPH3","SEPM25",2025,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2026,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2027,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2029,0.00629646760122141
"REGION1","SEBMCHPH3","SEPM25",2030,0.0031482338006107
"REGION1","SEBMSTPH3","SEPM25",2019,0.059423156799364
"REGION1","SEBMSTPH3","SEPM25",2020,3.46448251921783
"REGION1","SEBMSTPH3","SEPM25",2021,4.05608019207295
"REGION1","SEBMSTPH3","SEPM25",2022,6.36164609096621
"REGION1","SEBMSTPH3","SEPM25",2023,6.83316480807656
"REGION1","SEBMSTPH3","SEPM25",2024,8.09421682147166
"REGION1","SEBMSTPH3","SEPM25",2025,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2026,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2027,8.60284036329844
"REGION1","SEBMSTPH3","SEPM25",2028,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2029,8.60284036329843
"REGION1","SEBMSTPH3","SEPM25",2030,2.13972892135145
"REGION1","SEBMSTPH3","SEPM25",2031,1.94383881820234
"REGION1","SEBMSTPH3","SEPM25",2032,2.13638900229858
"REGION1","SEBMSTPH3","SEPM25",2033,2.46397411930491
"REGION1","SEBMSTPH3","SEPM25",2034,2.89126437892464
"REGION1","SEBMSTPH3","SEPM25",2035,6.30710139174384
"REGION1","SEBMSTPH3","SEPM25",2036,6.30710139174384
"REGION1","SEBMSTPH3","SEPM25",2037,6.30710139174384
"REGION1","SEBMSTPH3","SEPM25",2038,6.30710139174384
"REGION1","SEBMSTPH3","SEPM25",2039,6.30710139174384
"REGION1","SEBMSTPH3","SEPM25",2040,8.14376215675252
"REGION1","SEBMSTPH3","SEPM25",2041,13.8910069564008
"REGION1","SEBMSTPH3","SEPM25",2042,13.7930619048263
"REGION1","SEBMSTPH3","SEPM25",2043,14.4975906499725
"REGION1","SEBMSTPH3","SEPM25",2044,14.4975906499725
"REGION1","SEBMSTPH3","SEPM25",2045,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2046,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2047,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2048,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2049,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2050,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2051,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2052,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2053,15.2447472194705
"REGION1","SEBMSTPH3","SEPM25",2054,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2055,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2056,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2057,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2058,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2059,15.2447472194706
"REGION1","SEBMSTPH3","SEPM25",2060,13.3988534528428
"REGION1","SECO00I00","CO2",2015,681.6854900394
"REGION1","SECO00I00","CO2",2016,768.8675551194
