REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S01B1","SEE2",2015,21.277089725
"REGION1","S01B1","SEE2",2016,21.487105425
"REGION1","S01B1","SEE2",2017,21.6971669
"REGION1","S01B1","SEE2",2018,21.907228375
"REGION1","S01B1","SEE2",2019,22.117244075
"REGION1","S01B1","SEE2",2020,22.32730555
"REGION1","S01B1","SEE2",2021,22.459549525
"REGION1","S01B1","SEE2",2022,22.5917935
"REGION1","S01B1","SEE2",2023,22.724037475
"REGION1","S01B1","SEE2",2024,22.85628145
"REGION1","S01B1","SEE2",2025,22.988525425
"REGION1","S01B1","SEE2",2026,23.144526625
"REGION1","S01B1","SEE2",2027,23.300527825
"REGION1","S01B1","SEE2",2028,23.456529025
"REGION1","S01B1","SEE2",2029,23.612530225
"REGION1","S01B1","SEE2",2030,23.768531425
"REGION1","S01B1","SEE2",2031,23.8965641
"REGION1","S01B1","SEE2",2032,24.024596775
"REGION1","S01B1","SEE2",2033,24.152583675
"REGION1","S01B1","SEE2",2034,24.28061635
"REGION1","S01B1","SEE2",2035,24.408649025
"REGION1","S01B1","SEE2",2036,24.556960025
"REGION1","S01B1","SEE2",2037,24.7053168
"REGION1","S01B1","SEE2",2038,24.853673575
"REGION1","S01B1","SEE2",2039,25.001984575
"REGION1","S01B1","SEE2",2040,25.15034135
"REGION1","S01B1","SEE2",2041,25.38031495
"REGION1","S01B1","SEE2",2042,25.61028855
"REGION1","S01B1","SEE2",2043,25.84026215
"REGION1","S01B1","SEE2",2044,26.07023575
"REGION1","S01B1","SEE2",2045,26.300255125
"REGION1","S01B1","SEE2",2046,26.50454895
"REGION1","S01B1","SEE2",2047,26.708842775
"REGION1","S01B1","SEE2",2048,26.9131366
"REGION1","S01B1","SEE2",2049,27.117430425
"REGION1","S01B1","SEE2",2050,27.32172425
"REGION1","S01B1","SEE2",2051,27.43103495
"REGION1","S01B1","SEE2",2052,27.540757625
"REGION1","S01B1","SEE2",2053,27.650892275
"REGION1","S01B1","SEE2",2054,27.76153045
"REGION1","S01B1","SEE2",2055,27.872534825
"REGION1","S01B1","SEE2",2056,27.95616575
"REGION1","S01B1","SEE2",2057,28.04002555
"REGION1","S01B1","SEE2",2058,28.12416
"REGION1","S01B1","SEE2",2059,28.208523325
"REGION1","S01B1","SEE2",2060,28.2931613
"REGION1","S01B2","SEE2",2015,65.772353319
"REGION1","S01B2","SEE2",2016,66.421559907
"REGION1","S01B2","SEE2",2017,67.070907996
"REGION1","S01B2","SEE2",2018,67.720256085
"REGION1","S01B2","SEE2",2019,68.369462673
"REGION1","S01B2","SEE2",2020,69.018810762
"REGION1","S01B2","SEE2",2021,69.427607151
"REGION1","S01B2","SEE2",2022,69.83640354
"REGION1","S01B2","SEE2",2023,70.245199929
"REGION1","S01B2","SEE2",2024,70.653996318
"REGION1","S01B2","SEE2",2025,71.062792707
"REGION1","S01B2","SEE2",2026,71.545028115
"REGION1","S01B2","SEE2",2027,72.027263523
"REGION1","S01B2","SEE2",2028,72.509498931
"REGION1","S01B2","SEE2",2029,72.991734339
"REGION1","S01B2","SEE2",2030,73.473969747
"REGION1","S01B2","SEE2",2031,73.869748044
"REGION1","S01B2","SEE2",2032,74.265526341
"REGION1","S01B2","SEE2",2033,74.661163137
"REGION1","S01B2","SEE2",2034,75.056941434
"REGION1","S01B2","SEE2",2035,75.452719731
"REGION1","S01B2","SEE2",2036,75.911182971
"REGION1","S01B2","SEE2",2037,76.369787712
"REGION1","S01B2","SEE2",2038,76.828392453
"REGION1","S01B2","SEE2",2039,77.286855693
"REGION1","S01B2","SEE2",2040,77.745460434
"REGION1","S01B2","SEE2",2041,78.456361458
"REGION1","S01B2","SEE2",2042,79.167262482
"REGION1","S01B2","SEE2",2043,79.878163506
"REGION1","S01B2","SEE2",2044,80.58906453
"REGION1","S01B2","SEE2",2045,81.300107055
"REGION1","S01B2","SEE2",2046,81.931626018
"REGION1","S01B2","SEE2",2047,82.563144981
"REGION1","S01B2","SEE2",2048,83.194663944
"REGION1","S01B2","SEE2",2049,83.826182907
"REGION1","S01B2","SEE2",2050,84.45770187
"REGION1","S01B2","SEE2",2051,84.795606258
"REGION1","S01B2","SEE2",2052,85.134784155
"REGION1","S01B2","SEE2",2053,85.475235561
"REGION1","S01B2","SEE2",2054,85.817243478
"REGION1","S01B2","SEE2",2055,86.160383403
"REGION1","S01B2","SEE2",2056,86.41890573
"REGION1","S01B2","SEE2",2057,86.678135562
"REGION1","S01B2","SEE2",2058,86.9382144
"REGION1","S01B2","SEE2",2059,87.199000743
"REGION1","S01B2","SEE2",2060,87.460636092
"REGION1","S01B3","SEE2",2015,11.7378417975
"REGION1","S01B3","SEE2",2016,11.8537002675
"REGION1","S01B3","SEE2",2017,11.96958399
"REGION1","S01B3","SEE2",2018,12.0854677125
"REGION1","S01B3","SEE2",2019,12.2013261825
"REGION1","S01B3","SEE2",2020,12.317209905
"REGION1","S01B3","SEE2",2021,12.3901643775
"REGION1","S01B3","SEE2",2022,12.46311885
"REGION1","S01B3","SEE2",2023,12.5360733225
"REGION1","S01B3","SEE2",2024,12.609027795
"REGION1","S01B3","SEE2",2025,12.6819822675
"REGION1","S01B3","SEE2",2026,12.7680427875
"REGION1","S01B3","SEE2",2027,12.8541033075
"REGION1","S01B3","SEE2",2028,12.9401638275
"REGION1","S01B3","SEE2",2029,13.0262243475
"REGION1","S01B3","SEE2",2030,13.1122848675
"REGION1","S01B3","SEE2",2031,13.18291611
"REGION1","S01B3","SEE2",2032,13.2535473525
"REGION1","S01B3","SEE2",2033,13.3241533425
"REGION1","S01B3","SEE2",2034,13.394784585
"REGION1","S01B3","SEE2",2035,13.4654158275
"REGION1","S01B3","SEE2",2036,13.5472339275
"REGION1","S01B3","SEE2",2037,13.62907728
"REGION1","S01B3","SEE2",2038,13.7109206325
"REGION1","S01B3","SEE2",2039,13.7927387325
"REGION1","S01B3","SEE2",2040,13.874582085
"REGION1","S01B3","SEE2",2041,14.001450645
"REGION1","S01B3","SEE2",2042,14.128319205
"REGION1","S01B3","SEE2",2043,14.255187765
"REGION1","S01B3","SEE2",2044,14.382056325
"REGION1","S01B3","SEE2",2045,14.5089501375
"REGION1","S01B3","SEE2",2046,14.621652045
"REGION1","S01B3","SEE2",2047,14.7343539525
"REGION1","S01B3","SEE2",2048,14.84705586
"REGION1","S01B3","SEE2",2049,14.9597577675
"REGION1","S01B3","SEE2",2050,15.072459675
"REGION1","S01B3","SEE2",2051,15.132762645
"REGION1","S01B3","SEE2",2052,15.1932928875
"REGION1","S01B3","SEE2",2053,15.2540504025
"REGION1","S01B3","SEE2",2054,15.315085695
"REGION1","S01B3","SEE2",2055,15.3763230075
"REGION1","S01B3","SEE2",2056,15.422459325
"REGION1","S01B3","SEE2",2057,15.468721905
"REGION1","S01B3","SEE2",2058,15.515136
"REGION1","S01B3","SEE2",2059,15.5616763575
"REGION1","S01B3","SEE2",2060,15.60836823
"REGION1","S02B1","SEE2",2015,11.2433208634
"REGION1","S02B1","SEE2",2016,11.3542981602
"REGION1","S02B1","SEE2",2017,11.4652996456
"REGION1","S02B1","SEE2",2018,11.576301131
"REGION1","S02B1","SEE2",2019,11.6872784278
"REGION1","S02B1","SEE2",2020,11.7982799132
"REGION1","S02B1","SEE2",2021,11.8681607786
"REGION1","S02B1","SEE2",2022,11.938041644
"REGION1","S02B1","SEE2",2023,12.0079225094
"REGION1","S02B1","SEE2",2024,12.0778033748
"REGION1","S02B1","SEE2",2025,12.1476842402
"REGION1","S02B1","SEE2",2026,12.230118989
"REGION1","S02B1","SEE2",2027,12.3125537378
"REGION1","S02B1","SEE2",2028,12.3949884866
"REGION1","S02B1","SEE2",2029,12.4774232354
"REGION1","S02B1","SEE2",2030,12.5598579842
"REGION1","S02B1","SEE2",2031,12.6275134984
"REGION1","S02B1","SEE2",2032,12.6951690126
"REGION1","S02B1","SEE2",2033,12.7628003382
"REGION1","S02B1","SEE2",2034,12.8304558524
"REGION1","S02B1","SEE2",2035,12.8981113666
"REGION1","S02B1","SEE2",2036,12.9764824306
"REGION1","S02B1","SEE2",2037,13.0548776832
"REGION1","S02B1","SEE2",2038,13.1332729358
"REGION1","S02B1","SEE2",2039,13.2116439998
"REGION1","S02B1","SEE2",2040,13.2900392524
"REGION1","S02B1","SEE2",2041,13.4115627788
"REGION1","S02B1","SEE2",2042,13.5330863052
"REGION1","S02B1","SEE2",2043,13.6546098316
"REGION1","S02B1","SEE2",2044,13.776133358
"REGION1","S02B1","SEE2",2045,13.897681073
"REGION1","S02B1","SEE2",2046,14.0056347948
"REGION1","S02B1","SEE2",2047,14.1135885166
"REGION1","S02B1","SEE2",2048,14.2215422384
"REGION1","S02B1","SEE2",2049,14.3294959602
"REGION1","S02B1","SEE2",2050,14.437449682
"REGION1","S02B1","SEE2",2051,14.4952120588
"REGION1","S02B1","SEE2",2052,14.553192133
"REGION1","S02B1","SEE2",2053,14.6113899046
"REGION1","S02B1","SEE2",2054,14.6698537508
"REGION1","S02B1","SEE2",2055,14.7285111058
"REGION1","S02B1","SEE2",2056,14.772703678
"REGION1","S02B1","SEE2",2057,14.8170171932
"REGION1","S02B1","SEE2",2058,14.86147584
"REGION1","S02B1","SEE2",2059,14.9060554298
"REGION1","S02B1","SEE2",2060,14.9507801512
"REGION1","S02B2","SEE2",2015,35.3251284344
"REGION1","S02B2","SEE2",2016,35.6738054232
"REGION1","S02B2","SEE2",2017,36.0225584096
"REGION1","S02B2","SEE2",2018,36.371311396
"REGION1","S02B2","SEE2",2019,36.7199883848
"REGION1","S02B2","SEE2",2020,37.0687413712
"REGION1","S02B2","SEE2",2021,37.2882984376
"REGION1","S02B2","SEE2",2022,37.507855504
"REGION1","S02B2","SEE2",2023,37.7274125704
"REGION1","S02B2","SEE2",2024,37.9469696368
"REGION1","S02B2","SEE2",2025,38.1665267032
"REGION1","S02B2","SEE2",2026,38.425526524
"REGION1","S02B2","SEE2",2027,38.6845263448
"REGION1","S02B2","SEE2",2028,38.9435261656
"REGION1","S02B2","SEE2",2029,39.2025259864
"REGION1","S02B2","SEE2",2030,39.4615258072
"REGION1","S02B2","SEE2",2031,39.6740910944
"REGION1","S02B2","SEE2",2032,39.8866563816
"REGION1","S02B2","SEE2",2033,40.0991456712
"REGION1","S02B2","SEE2",2034,40.3117109584
"REGION1","S02B2","SEE2",2035,40.5242762456
"REGION1","S02B2","SEE2",2036,40.7705084696
"REGION1","S02B2","SEE2",2037,41.0168166912
"REGION1","S02B2","SEE2",2038,41.2631249128
"REGION1","S02B2","SEE2",2039,41.5093571368
"REGION1","S02B2","SEE2",2040,41.7556653584
