REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMCCPH1",2060,42.1802097334706
"REGION1","SEBMSTPH3",2032,0.837727238528891
"REGION1","SEBMSTPH3",2033,2.77243614195265
"REGION1","SEBMSTPH3",2034,5.276894175499
"REGION1","SEBMSTPH3",2035,54.7268506379317
"REGION1","SEBMSTPH3",2040,58.6899313349214
"REGION1","SEBMSTPH3",2041,199.31462855369
"REGION1","SEBMSTPH3",2043,27.9888935655876
"REGION1","SEBMSTPH3",2045,33.0836395076703
"REGION1","SEGOCVPH2",2024,0.0145770441925833
"REGION1","SEGOCVPH2",2025,0.00476242270499139
"REGION1","SEGOCVPH2",2026,0.0230800691893199
"REGION1","SEGOCVPH2",2027,0.0270191683774014
"REGION1","SEGOCVPH2",2028,0.0307570409935253
"REGION1","SEGOCVPH2",2029,0.0343046565939457
"REGION1","SEGOCVPH2",2030,0.0376684217056185
"REGION1","SEGOCVPH2",2031,0.0410374560848815
"REGION1","SEGOCVPH2",2032,0.0441921376547596
"REGION1","SEGOCVPH2",2033,0.0472007077672682
"REGION1","SEGOCVPH2",2034,0.0500785567935048
"REGION1","SEGOCVPH2",2035,0.0528223361770394
"REGION1","SEGOCVPH2",2036,0.0554456883166065
"REGION1","SEGOCVPH2",2037,0.0579552903283915
"REGION1","SEGOCVPH2",2038,0.0603462486715034
"REGION1","SEGOCVPH2",2039,0.0626378502602031
"REGION1","SEGOCVPH2",2040,0.0648200429983921
"REGION1","SEGOCVPH2",2041,0.0506411872854837
"REGION1","SEGOCVPH2",2042,0.0521438366055361
"REGION1","SEGOCVPH2",2043,0.0535772727307708
"REGION1","SEGOCVPH2",2044,0.0549505505897253
"REGION1","SEGOCVPH2",2045,0.0562609131697587
"REGION1","SEGOCVPH2",2046,0.0211393326773804
"REGION1","SEGOCVPH2",2047,0.021576957098439
"REGION1","SEGOCVPH2",2048,0.0219995533265956
"REGION1","SEGOCVPH2",2049,0.0223990361451787
"REGION1","SEGOCVPH2",2050,0.0227854833488006
"REGION1","SEGOCVPH2",2051,0.0184751814609408
"REGION1","SEGOCVPH2",2052,0.0189452471396324
"REGION1","SEGOCVPH2",2053,0.0194161434349658
"REGION1","SEGOCVPH2",2054,0.0198785526322339
"REGION1","SEGOCVPH2",2055,0.0203354062998887
"REGION1","SEGOCVPH2",2056,0.0207839238657343
"REGION1","SEGOCVPH2",2057,0.0212393258622058
"REGION1","SEGOCVPH2",2058,0.0216871206540834
"REGION1","SEGOCVPH2",2059,0.0221326304202803
"REGION1","SEGOCVPH2",2060,0.0225709061782765
"REGION1","SEHFCHPH3",2037,0.581941993303977
"REGION1","SEHFCHPH3",2038,1.52023713662972
"REGION1","SEHFCHPH3",2039,3.56443512120735
"REGION1","SEHFCHPH3",2040,5.57666892010659
"REGION1","SEHFCHPH3",2041,7.18469658554187
"REGION1","SEHFCHPH3",2042,8.13107788124322
"REGION1","SEHFCHPH3",2043,15.6693314192614
"REGION1","SEHFCHPH3",2044,13.7883562912765
"REGION1","SEHFCHPH3",2045,19.9376684474078
"REGION1","SEHFCHPH3",2046,53.2531069227814
"REGION1","SEHFCHPH3",2047,111.229910442796
"REGION1","SEHFCHPH3",2048,34.3429903472609
"REGION1","SEHFCHPH3",2049,17.4609337048562
"REGION1","SEHFCHPH3",2050,6.11701779670967
"REGION1","SEHFCHPH3",2051,2.6314951715734
"REGION1","SEHFCHPH3",2052,2.75911703259505
"REGION1","SEHFCHPH3",2053,7.0260563326207
"REGION1","SEHFCHPH3",2054,11.811280380459
"REGION1","SEHFCHPH3",2055,30.1394590907216
"REGION1","SEHFCHPH3",2056,4.18004293286559
"REGION1","SEHFCHPH3",2058,14.9822987054308
"REGION1","SEHFCHPH3",2059,23.2542490206606
"REGION1","SEHFCHPH3",2060,26.8621737123044
"REGION1","SEHYDMPH3",2030,668.903099219812
"REGION1","SEHYDMPH3",2031,38.6060704281189
"REGION1","SEHYDMPH3",2032,66.4159660773516
"REGION1","SEHYDMPH3",2033,112.632033719724
"REGION1","SEHYDMPH3",2034,90.7956761122022
"REGION1","SEHYDMPH3",2035,127.338484737838
"REGION1","SEHYDMPH3",2036,69.4999178532
"REGION1","SEHYDMPH3",2037,109.861598375814
"REGION1","SEHYDMPH3",2038,131.929287964324
"REGION1","SEHYDMPH3",2039,65.7057079460771
"REGION1","SEHYDMPH3",2040,92.9608570224689
"REGION1","SEHYDMPH3",2041,175.30635688031
"REGION1","SEHYDMPH3",2043,187.031611788647
"REGION1","SEHYDMPH3",2045,289.169887540922
"REGION1","SEHYDMPH3",2046,60.5257942025798
"REGION1","SEHYDMPH3",2047,164.803901307828
"REGION1","SEHYDMPH3",2048,110.733565898767
"REGION1","SEHYDMPH3",2049,59.0278338665327
"REGION1","SEHYDMPH3",2050,98.8784933992637
"REGION1","SEHYDMPH3",2051,104.14998162341
"REGION1","SEHYDMPH3",2052,71.920743518926
"REGION1","SEHYDMPH3",2053,121.910337267506
"REGION1","SEHYDMPH3",2054,121.729587747306
"REGION1","SEHYDMPH3",2055,171.192934899098
"REGION1","SEHYDMPH3",2056,103.567306560117
"REGION1","SEHYDMPH3",2057,80.9623543019377
"REGION1","SEHYDMPH3",2060,387.9377125355
"REGION1","SENGGCPN2",2054,10.769414889171
"REGION1","SENGGCPN2",2055,1.00994124063904
"REGION1","SENGGCPN2",2056,11.1431322863095
"REGION1","SEWIONPN3",2037,9.29779082063853
"REGION1","SEWIONPN3",2038,22.4405781985319
"REGION1","SEWIONPN3",2039,45.9634524280425
"REGION1","SEWIONPN3",2040,64.0370828042757
"REGION1","SEWIONPN3",2041,77.9948416331461
"REGION1","SEWIONPN3",2042,53.5895444756943
"REGION1","SEWIONPN3",2043,103.727098040801
"REGION1","SEWIONPN3",2044,96.9711510522016
"REGION1","SEWIONPN3",2045,126.783660155962
"REGION1","SEWIONPN3",2046,29.4350447725862
"REGION1","SEWIONPN3",2047,31.5847827806815
"REGION1","SEWIONPN3",2048,33.610762960212
