REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SECO00I00",2015,33.2628459728703
"REGION1","SECO00I00",2016,35.7303763394658
"REGION1","SECO00I00",2017,37.887517929078
"REGION1","SECO00I00",2018,39.7581580394145
"REGION1","SECO00I00",2019,41.3647655540615
"REGION1","SECO00I00",2020,42.7281736621619
"REGION1","SECO00I00",2021,40.6934987258685
"REGION1","SECO00I00",2022,38.7557130722557
"REGION1","SECO00I00",2023,36.9102029259577
"REGION1","SECO00I00",2024,35.1525742151979
"REGION1","SECO00I00",2025,9.94674984551873
"REGION1","SECO00I00",2026,11.5277869206723
"REGION1","SECO00I00",2027,12.9356940479756
"REGION1","SECO00I00",2028,14.1833981037068
"REGION1","SECO00I00",2029,15.2829137874414
"REGION1","SECO00I00",2030,16.2455602912294
"REGION1","SECO00I00",2031,1.00458837441684
"REGION1","SECO00I00",2032,0.956750832777947
"REGION1","SECO00I00",2033,0.911191269312332
"REGION1","SECO00I00",2034,0.867801208868887
"REGION1","SECO00I00",2035,0.826477341779892
"REGION1","SECO00I00",2036,0.787121277885612
"REGION1","SECO00I00",2037,0.749639312272012
"REGION1","SECO00I00",2038,0.713942202163821
"REGION1","SECO00I00",2039,0.679944954441734
"REGION1","SECO00I00",2040,0.647566623277842
"REGION1","SECO00I00",2041,0.616730117407468
"REGION1","SECO00I00",2042,0.58736201657854
"REGION1","SECO00I00",2043,0.559392396741468
"REGION1","SECO00I00",2044,0.532754663563303
"REGION1","SECO00I00",2045,0.507385393869812
"REGION1","SECO00I00",2046,0.483224184637916
"REGION1","SECO00I00",2047,0.460213509178968
"REGION1","SECO00I00",2048,0.438298580170446
"REGION1","SECO00I00",2049,0.417427219209948
"REGION1","SECO00I00",2050,0.397549732580903
"REGION1","SECO00I00",2051,0.378618792934193
"REGION1","SECO00I00",2052,0.360589326603993
"REGION1","SECO00I00",2053,0.343418406289518
"REGION1","SECO00I00",2054,0.32706514884716
"REGION1","SECO00I00",2055,0.311490617949676
"REGION1","SECO00I00",2056,0.296657731380643
"REGION1","SECO00I00",2057,0.28253117274347
"REGION1","SECO00I00",2058,0.269077307374734
"REGION1","SECO00I00",2059,0.256264102261651
"REGION1","SECO00I00",2060,0.244061049773001
"REGION1","SECO00X00",2015,38.841479973943
"REGION1","SECO00X00",2016,32.9404102765469
"REGION1","SECO00X00",2017,27.5132312290294
"REGION1","SECO00X00",2018,22.5282697302115
"REGION1","SECO00X00",2019,17.9556418455823
"REGION1","SECO00X00",2020,13.767452432737
"REGION1","SECO00X00",2021,13.1118594597495
"REGION1","SECO00X00",2022,12.4874851997615
"REGION1","SECO00X00",2023,11.8928430473919
"REGION1","SECO00X00",2024,11.3265171879923
"REGION1","SECO00X00",2025,10.7871592266593
"REGION1","SECO00X00",2026,8.21879314806867
"REGION1","SECO00X00",2027,5.87057268415865
"REGION1","SECO00X00",2028,3.7273321173734
"REGION1","SECO00X00",2029,1.77492451834934
"REGION1","SENG00I00",2015,11.833164442738
"REGION1","SENG00I00",2016,11.2696804216552
"REGION1","SENG00I00",2017,10.733028973005
"REGION1","SENG00I00",2018,10.2219323552428
"REGION1","SENG00I00",2019,9.73517367165985
"REGION1","SENG00I00",2020,9.27159397300938
"REGION1","SENG00I00",2021,8.83489598954549
"REGION1","SENG00I00",2022,8.41416995267805
"REGION1","SENG00I00",2023,8.01347928442487
"REGION1","SENG00I00",2024,7.62776330686031
"REGION1","SENG00I00",2025,21.775560155758
"REGION1","SENG00I00",2026,20.7386287197695
"REGION1","SENG00I00",2027,19.751074971209
"REGION1","SENG00I00",2028,18.8105475916277
"REGION1","SENG00I00",2029,17.9148072301216
"REGION1","SENG00I00",2030,17.7908962007457
"REGION1","SENG00I00",2031,25.651637826551
"REGION1","SENG00I00",2032,24.4301312633818
"REGION1","SENG00I00",2033,23.2667916794113
"REGION1","SENG00I00",2034,22.1183215182078
"REGION1","SENG00I00",2035,20.9872019658069
"REGION1","SENG00I00",2036,20.0440340139614
"REGION1","SENG00I00",2037,19.0865978936143
"REGION1","SENG00I00",2038,18.1939676892379
"REGION1","SENG00I00",2039,17.3234678686142
"REGION1","SENG00I00",2040,16.5011815040551
"REGION1","SENG00I00",2041,15.5425425060261
"REGION1","SENG00I00",2042,14.7450963172313
"REGION1","SENG00I00",2043,14.1640001695517
"REGION1","SENG00I00",2044,13.3945242573645
"REGION1","SENG00I00",2045,12.9221655914863
"REGION1","SENG00I00",2046,12.2974057110173
"REGION1","SENG00I00",2047,11.7028833015094
"REGION1","SENG00I00",2048,11.1380020734487
"REGION1","SENG00I00",2049,10.6010835573212
"REGION1","SENG00I00",2050,10.0900706944092
"REGION1","SENG00I00",2051,9.59761058006536
"REGION1","SENG00I00",2052,9.12954144113108
"REGION1","SENG00I00",2053,8.68463045256473
"REGION1","SENG00I00",2054,8.45990316816792
"REGION1","SENG00I00",2055,8.06817600128837
"REGION1","SENG00I00",2056,7.93713723847811
"REGION1","SENG00I00",2057,3.73059021088255
"REGION1","SENG00I00",2058,3.55294305798333
"REGION1","SENG00I00",2059,3.38375529331752
"REGION1","SENG00I00",2060,3.22262408887382
"REGION1","SECK00X00",2015,176.145158514673
"REGION1","SECK00X00",2016,167.757293823498
"REGION1","SECK00X00",2017,159.768851260474
"REGION1","SECK00X00",2018,152.160810724261
"REGION1","SECK00X00",2019,144.91505783263
"REGION1","SECK00X00",2020,138.01434079298
"REGION1","SECK00X00",2021,131.442229326648
"REGION1","SECK00X00",2022,125.183075549189
"REGION1","SECK00X00",2023,119.221976713513
"REGION1","SECK00X00",2024,113.544739727155
"REGION1","SECK00X00",2025,48.8481351305778
"REGION1","SECK00X00",2026,46.5220334576931
"REGION1","SECK00X00",2027,44.3066985311363
"REGION1","SECK00X00",2028,42.1968557439393
"REGION1","SECK00X00",2029,40.1874816608945
"REGION1","SECK00X00",2030,38.2737920579952
"REGION1","SEOI00I00",2015,6.443511597167
"REGION1","SEOI00I00",2016,6.13667771158762
"REGION1","SEOI00I00",2017,5.84445496341679
"REGION1","SEOI00I00",2018,5.56614758420646
"REGION1","SEOI00I00",2019,5.30109293733949
"REGION1","SEOI00I00",2020,5.04865994032332
"REGION1","SEOI00I00",2021,4.80824756221269
"REGION1","SEOI00I00",2022,4.57928339258351
"REGION1","SEOI00I00",2023,4.36122227865095
"REGION1","SEOI00I00",2024,4.15354502728663
"REGION1","SEOI00I00",2025,1.78689853225594
"REGION1","SEOI00I00",2026,1.70180812595804
"REGION1","SEOI00I00",2027,1.62076964376956
"REGION1","SEOI00I00",2028,1.54359013692339
"REGION1","SEOI00I00",2029,1.47008584468894
"REGION1","SEOI00I00",2030,1.40008175684663
