REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBM00X00",1,"SEBM",2020,121.941945405493
"REGION1","S01B1","SEBM00X00",1,"SEBM",2021,129.709603564813
"REGION1","S01B1","SEBM00X00",1,"SEBM",2022,265.392460689927
"REGION1","S01B1","SEBM00X00",1,"SEBM",2023,267.644364704297
"REGION1","S01B1","SEBM00X00",1,"SEBM",2024,265.434139266934
"REGION1","S01B1","SEBM00X00",1,"SEBM",2025,258.974066875531
"REGION1","S01B1","SEBM00X00",1,"SEBM",2026,268.416739261514
"REGION1","S01B1","SEBM00X00",1,"SEBM",2027,248.044115462919
"REGION1","S01B1","SEBM00X00",1,"SEBM",2028,244.292565736752
"REGION1","S01B1","SEBM00X00",1,"SEBM",2029,257.763268951099
"REGION1","S01B1","SEBM00X00",1,"SEBM",2030,65.3491517007562
"REGION1","S01B1","SEBM00X00",1,"SEBM",2031,67.261823521628
"REGION1","S01B1","SEBM00X00",1,"SEBM",2032,50.0772590926993
"REGION1","S01B1","SEBM00X00",1,"SEBM",2033,75.7206313271902
"REGION1","S01B1","SEBM00X00",1,"SEBM",2034,88.7297946929175
"REGION1","S01B1","SEBM00X00",1,"SEBM",2035,194.081140565149
"REGION1","S01B1","SEBM00X00",1,"SEBM",2036,168.328623630408
"REGION1","S01B1","SEBM00X00",1,"SEBM",2037,194.08114056515
"REGION1","S01B1","SEBM00X00",1,"SEBM",2038,165.266551526052
"REGION1","S01B1","SEBM00X00",1,"SEBM",2039,193.55815942539
"REGION1","S01B1","SEBM00X00",1,"SEBM",2040,250.027899494103
"REGION1","S01B1","SEBM00X00",1,"SEBM",2041,426.82304705686
"REGION1","S01B1","SEBM00X00",1,"SEBM",2042,423.294237608645
"REGION1","S01B1","SEBM00X00",1,"SEBM",2043,452.522967669607
"REGION1","S01B1","SEBM00X00",1,"SEBM",2044,445.020063416208
"REGION1","S01B1","SEBM00X00",1,"SEBM",2045,475.18764488517
"REGION1","S01B1","SEBM00X00",1,"SEBM",2046,475.373411520776
"REGION1","S01B1","SEBM00X00",1,"SEBM",2047,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2048,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2049,474.722701772009
"REGION1","S01B1","SEBM00X00",1,"SEBM",2050,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2051,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2052,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2053,423.408749715718
"REGION1","S01B1","SEBM00X00",1,"SEBM",2054,470.126591535441
"REGION1","S01B1","SEBM00X00",1,"SEBM",2055,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2056,475.452399339114
"REGION1","S01B1","SEBM00X00",1,"SEBM",2057,469.115414670638
"REGION1","S01B1","SEBM00X00",1,"SEBM",2058,471.531544370666
"REGION1","S01B1","SEBM00X00",1,"SEBM",2059,467.844898857763
"REGION1","S01B1","SEBM00X00",1,"SEBM",2060,425.679257048233
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2020,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2021,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2022,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2023,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2024,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2025,1.40272128
"REGION1","S01B1","SEBMCCPH1",1,"SEE1",2060,5.3349427195423
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2025,0.070136064
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2026,0.070136064
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2027,0.070136064
"REGION1","S01B1","SEBMCHPH3",1,"SEE1",2029,0.070136064
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2020,41.3528250635379
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2021,44.0900219733111
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2022,91.5975832914765
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2023,92.4042643200008
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2024,91.6492033882015
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2025,87.8650012580282
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2026,92.40426432
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2027,85.2738388600663
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2028,84.0426205508642
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2029,88.6755459826365
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2030,21.4123630080082
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2031,20.879033943131
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2032,14.8644303784024
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2033,23.8396196356635
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2034,28.3928313668798
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2035,65.2658392951689
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2036,56.2524493546196
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2037,65.265839295169
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2038,55.1807230463685
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2039,65.0827957132094
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2040,84.8472245016879
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2041,146.725588027016
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2042,145.490503485057
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2043,155.720569236459
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2044,153.09455012175
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2045,163.653214194551
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2046,163.718232582032
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2047,163.745878346095
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2048,163.745878346095
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2049,163.490483942214
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2050,163.745878346095
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2051,163.745878346095
