REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMCCPH1","SEBM",2020,3.791134803456
"REGION1","S01B1","SEBMCCPH1","SEBM",2021,3.7382381839872
"REGION1","S01B1","SEBMCCPH1","SEBM",2022,3.6853415645184
"REGION1","S01B1","SEBMCCPH1","SEBM",2023,3.6324449450496
"REGION1","S01B1","SEBMCCPH1","SEBM",2024,3.579534298368
"REGION1","S01B1","SEBMCCPH1","SEBM",2025,3.5266376788992
"REGION1","S01B1","SEBMCCPH1","SEBM",2060,11.0037995039008
"REGION1","S01B1","SEBMCHPH3","SEBM",2025,0.23378664621312
"REGION1","S01B1","SEBMCHPH3","SEBM",2026,0.23378664621312
"REGION1","S01B1","SEBMCHPH3","SEBM",2027,0.23378664621312
"REGION1","S01B1","SEBMCHPH3","SEBM",2029,0.23378664621312
"REGION1","S01B1","SEBMSTPH3","SEBM",2020,118.150810602037
"REGION1","S01B1","SEBMSTPH3","SEBM",2021,125.971365380826
"REGION1","S01B1","SEBMSTPH3","SEBM",2022,261.707119125409
"REGION1","S01B1","SEBMSTPH3","SEBM",2023,264.011919759247
"REGION1","S01B1","SEBMSTPH3","SEBM",2024,261.854604968566
"REGION1","S01B1","SEBMSTPH3","SEBM",2025,251.042609694363
"REGION1","S01B1","SEBMSTPH3","SEBM",2026,264.011919759245
"REGION1","S01B1","SEBMSTPH3","SEBM",2027,243.63929596065
"REGION1","S01B1","SEBMSTPH3","SEBM",2028,240.121532880696
"REGION1","S01B1","SEBMSTPH3","SEBM",2029,253.35844944883
"REGION1","S01B1","SEBMSTPH3","SEBM",2030,61.1781188447004
"REGION1","S01B1","SEBMSTPH3","SEBM",2031,59.6543230402773
"REGION1","S01B1","SEBMSTPH3","SEBM",2032,42.4697586113486
"REGION1","S01B1","SEBMSTPH3","SEBM",2033,68.1131308458395
"REGION1","S01B1","SEBMSTPH3","SEBM",2034,81.1222942115668
"REGION1","S01B1","SEBMSTPH3","SEBM",2035,186.473640083799
"REGION1","S01B1","SEBMSTPH3","SEBM",2036,160.721123149058
"REGION1","S01B1","SEBMSTPH3","SEBM",2037,186.473640083799
"REGION1","S01B1","SEBMSTPH3","SEBM",2038,157.659051044701
"REGION1","S01B1","SEBMSTPH3","SEBM",2039,185.950658944039
