REGION,TECHNOLOGY,VALUE
"REGION1","SEBF00X00",0.00175458220283143
"REGION1","SEBFHPFH1",0.00114047957232
"REGION1","SEBM00X00",9307.27701672529
"REGION1","SEBMCCPH1",9.65663759824722
"REGION1","SEBMCHPH3",0.213038377484935
"REGION1","SEBMSTPH3",3172.0826441107
"REGION1","SECO00I00",157.8281308
"REGION1","SECO00X00",66.151442
"REGION1","SEEL00TD0",26850.9354263427
"REGION1","SEGO00X00",18.8169948
"REGION1","SEGOCVPH2",4.64597485997039
"REGION1","SEHYDMPH1",456.332053853419
"REGION1","SEHYDMPH2",3925.65734117286
"REGION1","SEHYDMPH3",6927.79060857913
"REGION1","SEHYDSPH2",47.1085819594118
"REGION1","SEHYDSPH3",170.119401180461
"REGION1","SENG00I00",774.909772421928
"REGION1","SENGCHPH3",0.798585779993889
"REGION1","SENGFCFH1",0.004188670429248
"REGION1","SENGGCPN2",4.36820071559105
"REGION1","SENUG2PH3",4724.85961900658
"REGION1","SEOCWVPH1",2.07033920743198
"REGION1","SESODIFH1",0.0206977310167736
"REGION1","SESOUTPH2",7.44991506180496
"REGION1","SEUR00I00",14317.7421034756
"REGION1","SEWIOFPH3",45.7224112110032
"REGION1","SEWIONPH3",887.622528023004
"REGION1","SEWIONPN3",4538.24828493044
"REGION1","SEWS00X00",5361.97951102016
"REGION1","SEWSCHPH2",148.423135474787
"REGION1","SEWSSTPH1",1777.76612524037
"REGION1","SEstCO001",41.728
"REGION1","SEstHY003",6.37067831535632
"REGION1","SEstEA004",102.919321684644
"REGION1","SECK00X00",425.875968
"REGION1","SEOI00I00",23.8851072
